Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
,,,,,,Stormers,,,,,,,Sharks," Date :  Saturday, December 28, 2024 Kick Off : 14:00 Venue : DHL Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,2:00 PM
,,,,,,Zebre,,,,,,,Trévise," Date :  Saturday, December 28, 2024 Kick Off : 16:00 Venue : Stadio Sergio Lanfranchi Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Edimbourg,,,,,,,Glasgow," Date :  Saturday, December 28, 2024 Kick Off : 16:00 Venue : Scottish Gas Murrayfield Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Connacht,,,,,,,Ulster," Date :  Saturday, December 28, 2024 Kick Off : 20:35 Venue : Dexcom Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:35 PM
,,,,,,Cardiff,,,,,,,Ospreys," Date :  Wednesday, January 1, 2025 Kick Off : 16:00 Venue : Cardiff Arms Park Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Scarlets,,,,,,,Dragons," Date :  Wednesday, January 1, 2025 Kick Off : 18:15 Venue : Parc y Scarlets Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:15 PM
,,,,,,Bulls,,,,,,,Lions," Date :  Saturday, February 22, 2025 Kick Off : 13:00 Venue : Loftus Versfeld Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,1:00 PM
,,,,,,Ospreys,,,,,,,Trévise," Date :  Friday, January 24, 2025 Kick Off : 20:35 Venue : Swansea.com Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:35 PM
,,,,,,Glasgow,,,,,,,Connacht," Date :  Friday, January 24, 2025 Kick Off : 20:35 Venue : Scotstoun Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:35 PM
,,,,,,Lions,,,,,,,Bulls," Date :  Saturday, January 25, 2025 Kick Off : 13:45 Venue : Emirates Airline Park Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,1:45 PM
,,,,,,Scarlets,,,,,,,Edimbourg," Date :  Saturday, January 25, 2025 Kick Off : 16:00 Venue : Parc y Scarlets Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Leinster,,,,,,,Stormers," Date :  Saturday, January 25, 2025 Kick Off : 18:00 Venue : Aviva Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:00 PM
,,,,,,Cardiff,,,,,,,Sharks," Date :  Saturday, January 25, 2025 Kick Off : 18:15 Venue : Cardiff Arms Park Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:15 PM
,,,,,,Dragons,,,,,,,Munster," Date :  Saturday, January 25, 2025 Kick Off : 20:35 Venue : Rodney Parade Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:35 PM
,,,,,,Ulster,,,,,,,Zebre," Date :  Sunday, January 26, 2025 Kick Off : 18:30 Venue : Kingspan Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:30 PM
,,,,,,Ospreys,,,,,,,Leinster," Date :  Friday, February 14, 2025 Kick Off : 20:35 Venue : Swansea.com Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:35 PM
,,,,,,Edimbourg,,,,,,,Zebre," Date :  Friday, February 14, 2025 Kick Off : 20:35 Venue : Hive Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:35 PM
,,,,,,Lions,,,,,,,Stormers," Date :  Saturday, February 15, 2025 Kick Off : 13:30 Venue : Emirates Airline Park Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,1:30 PM
,,,,,,Bulls,,,,,,,Sharks," Date :  Saturday, February 15, 2025 Kick Off : 16:00 Venue : Loftus Versfeld Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Trévise,,,,,,,Ulster," Date :  Saturday, February 15, 2025 Kick Off : 18:15 Venue : Stadio Comunale di Monigo Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:15 PM
