match_date_,Home team,Away team,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,competition,round_stage,pkey,home_score,away_score,score_diff,home_pack_weight,away_pack_weight,home_forwards_ages,home_backs_ages,away_forwards_ages,away_backs_ages
2022-03-06,OSPREYS,ZEBRE,3.0,31_35_68,1.0,53,2.0,3_62,5.0,18_23_50_57_74,3.0,33_36_70,1.0,54,urc,pool stage,OSPREYS_ZEBRE_2022-03-06,27,22,5,908,896,28,27,25,25
2022-03-06,PARIS,TOULOUSE,2.0,8_80,1.0,35,3.0,2_30_64,3.0,15_60_72,2.0,9_80,1.0,36,top-14,pool stage,PARIS_TOULOUSE_2022-03-06,23,16,7,913,975,26,27,27,25
2022-03-11,SHARKS,SCARLETS,3.0,61_86_55,2.0,74_46,3.0,18_38_69,2.0,8_14,3.0,55_62_87,2.0,47_74,urc,pool stage,SHARKS_SCARLETS_2022-03-11,37,20,17,924,907,29,26,27,24
2022-03-12,WORCESTER,EXETER,4.0,15_33_67_45,5.0,61_75_25_30_70,0.0,,0.0,,5.0,15_34_45_64_68,3.0,26_30_71,premiership,pool stage,WORCESTER_EXETER_2022-03-12,35,31,4,943,934,27,25,28,25
2022-03-12,MONTPELLIER,TOULON,0.0,,0.0,,6.0,15_19_24_31_44_54,3.0,9_30_59,0.0,,0.0,,top-14,pool stage,MONTPELLIER_TOULON_2022-03-12,18,16,2,900,936,29,25,29,25
2022-03-12,LEICESTER,LONDON IRISH,5.0,52_7_55_18_30,3.0,1_40_74,0.0,,3.0,27_34_42,5.0,8_31_52_57_71,2.0,2_74,premiership,pool stage,LEICESTER_LONDON IRISH_2022-03-12,47,28,19,935,934,25,29,30,26
2022-03-12,ULSTER,LEINSTER,2.0,8_34,1.0,28,2.0,31_41,2.0,12_41,1.0,9,1.0,28,urc,pool stage,ULSTER_LEINSTER_2022-03-12,18,13,5,920,915,30,26,27,26
2022-03-12,BULLS,MUNSTER,2.0,32_15,2.0,72_53,5.0,2_8_21_29_46,1.0,5,2.0,16_33,3.0,54_65_73,urc,pool stage,BULLS_MUNSTER_2022-03-12,29,24,5,919,896,27,27,27,26
2022-03-12,SALE,GLOUCESTER,4.0,43_37_3_24,4.0,16_29_59_67,0.0,,0.0,,3.0,26_39_45,2.0,17_68,premiership,pool stage,SALE_GLOUCESTER_2022-03-12,26,24,2,930,910,26,25,29,25
2022-03-12,NEWCASTLE,SARACENS,2.0,4_52,4.0,14_77_72_43,3.0,18_22_27,1.0,33,1.0,5,3.0,15_44_79,premiership,pool stage,NEWCASTLE_SARACENS_2022-03-12,21,36,-15,921,914,27,27,29,26
2022-03-13,STORMERS,ZEBRE,9.0,38_74_1_11_59_7_23_56_78,1.0,42,0.0,,0.0,,5.0,2_8_12_24_79,1.0,42,urc,pool stage,STORMERS_ZEBRE_2022-03-13,55,7,48,892,903,29,26,24,27
2022-03-13,NORTHAMPTON,WASPS,4.0,47_12_26_72,3.0,4_62_74,1.0,68,1.0,10,2.0,27_47,2.0,75_5,premiership,pool stage,NORTHAMPTON_WASPS_2022-03-13,27,22,5,936,953,28,26,26,28
2022-03-13,BRISTOL,HARLEQUINS,4.0,48_20_8_11,6.0,65_30_17_2_3_72,1.0,53,0.0,,3.0,9_21_48,4.0,3_4_31_73,premiership,pool stage,BRISTOL_HARLEQUINS_2022-03-13,29,38,-9,935,920,29,28,27,26
